primary_description,_source_sheet,_source_row_number,Name/Desc of Feature/Bug/Idea/Wish List Item,Related Feature/Section/Category,Source Document Name: Section/Topic,High-Level Category,Source Document Name & Date: Section/Topic,Source Documen & Section/Topic,Source Document & Section/Topic/Slide,Source Document & Section,Scope,Priority,Status,Category,Source,Name/Desc,Item / Description,Source (Date/Document),Name/Description,Related Feature/Section,User/Project Management,Item / Feature / Idea / Bug,Source Context/Date,Item/Feature,Description/Status/Notes,Source Context,Feature/Bug/Idea/Wish List Item,Source Document(s)
Clarify confirmation of moth presence over multiple days,User feedback summary 2024,15,,,,,,,,,,,,Thought,"User feedback, Tessa, 2024",,,,Clarify confirmation of moth presence over multiple days,Data Analysis,Tessa,,,,,,,
Suggests classification of derived data: Detections -> Occurrences -> Species,User feedback summary 2024,16,,,,,,,,,,,,Thought,"User feedback, Donald, 2024",,,,Suggests classification of derived data: Detections -> Occurrences -> Species,Data Management,Donald,,,,,,,
Improve explanations and add more contextual information about displayed data,User feedback summary 2024,17,,,,,,,,,,,,Feature,"User feedback, Stephan, 2024",,,,Improve explanations and add more contextual information about displayed data,Data Display,Stephan,,,,,,,
Implement export options,User feedback summary 2024,18,,,,,,,,,,,,Feature,"User feedback, Kent, 2024",,,,Implement export options,Data Management,Kent,,,,,,,
Clarify confusion about data flow and image processing integration,User feedback summary 2024,19,,,,,,,,,,,,Thought,"User feedback, Yves, 2024",,,,Clarify confusion about data flow and image processing integration,Data Processing,Yves,,,,,,,
Fix issues with timestamps not being recognized in the current format,User feedback summary 2024,20,,,,,,,,,,,,Bug,"User feedback, Andre-Philippe, 2024",,,,Fix issues with timestamps not being recognized in the current format,Data Processing,Andre-Philippe,,,,,,,
Concern about handling incorrect timestamps from faulty real-time clocks,User feedback summary 2024,21,,,,,,,,,,,,Thought,"User feedback, Santiago, 2024",,,,Concern about handling incorrect timestamps from faulty real-time clocks,Data Management,Santiago,,,,,,,
Provide a more dynamic way to handle sessions and timestamps,User feedback summary 2024,22,,,,,,,,,,,,Feature,"User feedback, Andre-Philippe, 2024",,,,Provide a more dynamic way to handle sessions and timestamps,Data Management,Andre-Philippe,,,,,,,
Continue to maintain comprehensive capabilities for managing and analyzing large datasets,User feedback summary 2024,23,,,,,,,,,,,,Maintenance,"User feedback, Chris & Yves, 2024",,,,Continue to maintain comprehensive capabilities for managing and analyzing large datasets,Data Management,Chris & Yves,,,,,,,
Implement method for bulk updating of incorrect timestamps,User feedback summary 2024,24,,,,,,,,,,,,Feature,"User feedback, Santiago, 2024",,,,Implement method for bulk updating of incorrect timestamps,Data Management,Santiago,,,,,,,
Emphasize importance of proving data origin,User feedback summary 2024,25,,,,,,,,,,,,Thought,"User feedback, Donald, 2024",,,,Emphasize importance of proving data origin,Data Integrity,Donald,,,,,,,
Suggests Zenodo for dataset publishing,User feedback summary 2024,26,,,,,,,,,,,,Thought,"User feedback, Donald, 2024",,,,Suggests Zenodo for dataset publishing,Data Management,Donald,,,,,,,
Plan to review data only at end of deployment,User feedback summary 2024,27,,,,,,,,,,,,Thought,"User feedback, Tessa, 2024",,,,Plan to review data only at end of deployment,Data Analysis,Tessa,,,,,,,
Clarify saving changes (automatic vs. manual),User feedback summary 2024,28,,,,,,,,,,,,Thought,"User feedback, Santiago, 2024",,,,Clarify saving changes (automatic vs. manual),Data Management,Santiago,,,,,,,
Integrate or share data between software and ARISE,User feedback summary 2024,29,,,,,,,,,,,,Feature,"User feedback, Stephan, 2024",,,,Integrate or share data between software and ARISE,Platform Integration,Stephan,,,,,,,
Enable remote data transfer from isolated northern deployments,User feedback summary 2024,30,,,,,,,,,,,,Feature,"User feedback, Santiago, 2024",,,,Enable remote data transfer from isolated northern deployments,Data Management,Santiago,,,,,,,
Develop dynamic session partitioning for better data visualization and analysis,User feedback summary 2024,31,,,,,,,,,,,,Feature,"User feedback, Andre-Philippe, 2024",,,,Develop dynamic session partitioning for better data visualization and analysis,Data Analysis,Andre-Philippe,,,,,,,
Continue to maintain and enhance automatic visualizations and data organization features,User feedback summary 2024,32,,,,,,,,,,,,Maintenance,"User feedback, Hubert, 2024",,,,Continue to maintain and enhance automatic visualizations and data organization features,Data Visualization,Hubert,,,,,,,
Show time series of images taken,User feedback summary 2024,33,,,,,,,,,,,,Feature,"User feedback, Donald, 2024",,,,Show time series of images taken,Data Visualization,Donald,,,,,,,
Fix incorrect date display for all occurrences,User feedback summary 2024,34,,,,,,,,,,,,Bug,"User feedback, Jamie, 2024",,,,Fix incorrect date display for all occurrences,Data Display,Jamie,,,,,,,
Fix incorrect date display for occurrences,User feedback summary 2024,35,,,,,,,,,,,,Bug,"User feedback, Jamie, 2024",,,,Fix incorrect date display for occurrences,Data Display,Jamie,,,,,,,
Assumption of manual entry for first & last date,User feedback summary 2024,36,,,,,,,,,,,,Thought,"User feedback, Tessa, 2024",,,,Assumption of manual entry for first & last date,Data Entry,Tessa,,,,,,,
Expose specific data source subdirectory in Deployment edit,User feedback summary 2024,37,,,,,,,,,,,,Feature,"User feedback, Kent, 2024",,,,Expose specific data source subdirectory in Deployment edit,Deployment Management,Kent,,,,,,,
Fix lack of specific field validation errors when creating deployment,User feedback summary 2024,38,,,,,,,,,,,,Bug,"User feedback, Jamie, 2024",,,,Fix lack of specific field validation errors when creating deployment,Deployment Management,Jamie,,,,,,,
Add context pictures of devices in the field,User feedback summary 2024,39,,,,,,,,,,,,Feature,"User feedback, Santiago, 2024",,,,Add context pictures of devices in the field,Deployment Management,Santiago,,,,,,,
Possibility of shorter deployments,User feedback summary 2024,40,,,,,,,,,,,,Thought,"User feedback, Tessa, 2024",,,,Possibility of shorter deployments,Deployment Management,Tessa,,,,,,,
Fix issue with re-choosing Site & Device when editing a Deployment,User feedback summary 2024,41,,,,,,,,,,,,Bug,"User feedback, Kent, 2024",,,,Fix issue with re-choosing Site & Device when editing a Deployment,Deployment Management,Kent,,,,,,,
Allow ability to delete deployments,User feedback summary 2024,42,,,,,,,,,,,,Feature,"User feedback, Unknown, 2024",,,,Allow ability to delete deployments,Deployment Management,Unknown,,,,,,,
Continue to maintain the ability to add and edit information about devices and deployments,User feedback summary 2024,43,,,,,,,,,,,,Maintenance,"User feedback, Santiago, 2024",,,,Continue to maintain the ability to add and edit information about devices and deployments,Deployment Management,Santiago,,,,,,,
Fix difficulty in saving deployment without changing a field,User feedback summary 2024,44,,,,,,,,,,,,Bug,"User feedback, Jamie, 2024",,,,Fix difficulty in saving deployment without changing a field,Deployment Management,Jamie,,,,,,,
Allow drawing box to add missed moth in session review,User feedback summary 2024,45,,,,,,,,,,,,Feature,"User feedback, Jamie, 2024",,,,Allow drawing box to add missed moth in session review,Detection Review,Jamie,,,,,,,
Show all detections regardless of score threshold,User feedback summary 2024,46,,,,,,,,,,,,Feature,"User feedback, Kent, 2024",,,,Show all detections regardless of score threshold,Detection Display,Kent,,,,,,,
Make detection box directly clickable,User feedback summary 2024,47,,,,,,,,,,,,Feature,"User feedback, Unknown, 2024",,,,Make detection box directly clickable,Detection Review,Unknown,,,,,,,
Make all detections visible,User feedback summary 2024,48,,,,,,,,,,,,Feature,"User feedback, Jamie, 2024",,,,Make all detections visible,Detection Display,Jamie,,,,,,,
Clarify device and deployment hierarchies with diagrams or text explanations,User feedback summary 2024,49,,,,,,,,,,,,Feature,"User feedback, Stephan, 2024",,,,Clarify device and deployment hierarchies with diagrams or text explanations,Deployment Management,Stephan,,,,,,,
Skeptical about speed and accuracy of integrating DNA barcoding data,User feedback summary 2024,50,,,,,,,,,,,,Thought,"User feedback, Chris & Yves, 2024",,,,Skeptical about speed and accuracy of integrating DNA barcoding data,Data Integration,Chris & Yves,,,,,,,
Create Wiki manual with specific process notes,User feedback summary 2024,51,,,,,,,,,,,,Feature,"User feedback, Kent, 2024",,,,Create Wiki manual with specific process notes,Documentation,Kent,,,,,,,
Replicate desktop/offline version export options,User feedback summary 2024,52,,,,,,,,,,,,Feature,"User feedback, Jamie, 2024",,,,Replicate desktop/offline version export options,Data Export,Jamie,,,,,,,
Confusion about implications of renaming folders and files within the object store,User feedback summary 2024,53,,,,,,,,,,,,Thought,"User feedback, Andre-Philippe, 2024",,,,Confusion about implications of renaming folders and files within the object store,File Management,Andre-Philippe,,,,,,,
Suggest avoiding spaces in folder names for better compatibility,User feedback summary 2024,54,,,,,,,,,,,,Thought,"User feedback, Andre-Philippe, 2024",,,,Suggest avoiding spaces in folder names for better compatibility,File Management,Andre-Philippe,,,,,,,
Continue to foster efficient organization of files and metadata,User feedback summary 2024,55,,,,,,,,,,,,Maintenance,"User feedback, Hubert, 2024",,,,Continue to foster efficient organization of files and metadata,File Management,Hubert,,,,,,,
Use hierarchical folders for organizing cropped images by taxonomic order and family,User feedback summary 2024,56,,,,,,,,,,,,Feature,"User feedback, Hubert, 2024",,,,Use hierarchical folders for organizing cropped images by taxonomic order and family,File Organization,Hubert,,,,,,,
Back button should retain selected filters,User feedback summary 2024,57,,,,,,,,,,,,Feature,"User feedback, Jamie, 2024",,,,Back button should retain selected filters,User Interface,Jamie,,,,,,,
Make filters more visible for intuitive understanding,User feedback summary 2024,58,,,,,,,,,,,,Feature,"User feedback, Unknown, 2024",,,,Make filters more visible for intuitive understanding,User Interface,Unknown,,,,,,,
Add advanced filtering options,User feedback summary 2024,59,,,,,,,,,,,,Feature,"User feedback, Unknown, 2024",,,,Add advanced filtering options,Data Filtering,Unknown,,,,,,,
Need for continuous funding to maintain and expand monitoring projects,User feedback summary 2024,60,,,,,,,,,,,,Thought,"User feedback, Yves, 2024",,,,Need for continuous funding to maintain and expand monitoring projects,Project Management,Yves,,,,,,,
Add more fields for detailed hardware information,User feedback summary 2024,61,,,,,,,,,,,,Feature,"User feedback, Santiago, 2024",,,,Add more fields for detailed hardware information,Deployment Management,Santiago,,,,,,,
Continue to maintain and enhance the integration of multiple algorithms for species identification,User feedback summary 2024,62,,,,,,,,,,,,Maintenance,"User feedback, Stephan, 2024",,,,Continue to maintain and enhance the integration of multiple algorithms for species identification,Species Identification,Stephan,,,,,,,
"Allow viewing IDs by genus, family, etc.",User feedback summary 2024,63,,,,,,,,,,,,Feature,"User feedback, Jamie, 2024",,,,"Allow viewing IDs by genus, family, etc.",Species Identification,Jamie,,,,,,,
Fix missing user name in detail view of identification history,User feedback summary 2024,64,,,,,,,,,,,,Bug,"User feedback, Jamie, 2024",,,,Fix missing user name in detail view of identification history,Species Identification,Jamie,,,,,,,
Questions threshold logic for family-level identifications,User feedback summary 2024,65,,,,,,,,,,,,Thought,"User feedback, Jamie, 2024",,,,Questions threshold logic for family-level identifications,Species Identification,Jamie,,,,,,,
Use clearer link text for viewing source image,User feedback summary 2024,66,,,,,,,,,,,,Feature,"User feedback, Unknown, 2024",,,,Use clearer link text for viewing source image,Image Display,Unknown,,,,,,,
Uncertainty about expected image upload count,User feedback summary 2024,67,,,,,,,,,,,,Thought,"User feedback, Tessa, 2024",,,,Uncertainty about expected image upload count,Image Upload,Tessa,,,,,,,
Provide easier method to export and organize cropped images hierarchically by taxonomy,User feedback summary 2024,68,,,,,,,,,,,,Feature,"User feedback, Hubert, 2024",,,,Provide easier method to export and organize cropped images hierarchically by taxonomy,Image Export,Hubert,,,,,,,
Make thumbnails clickable,User feedback summary 2024,69,,,,,,,,,,,,Feature,"User feedback, Kent, 2024",,,,Make thumbnails clickable,Image Display,Kent,,,,,,,
Fix slower image loading,User feedback summary 2024,70,,,,,,,,,,,,Bug,"User feedback, Tessa, 2024",,,,Fix slower image loading,Image Display,Tessa,,,,,,,
Fix very slow image loading,User feedback summary 2024,71,,,,,,,,,,,,Bug,"User feedback, Tessa, 2024",,,,Fix very slow image loading,Image Display,Tessa,,,,,,,
Implement auto-refresh after processing single image,User feedback summary 2024,72,,,,,,,,,,,,Bug,"User feedback, Joe, 2024",,,,Implement auto-refresh after processing single image,Image Processing,Joe,,,,,,,
Processing pipeline for analyzing individual images,User feedback summary 2024,73,,,,,,,,,,,,Feature,"User feedback, Santiago, 2024",,,,Processing pipeline for analyzing individual images,Image Processing,Santiago,,,,,,,
Auto-refresh image after single image job completion,User feedback summary 2024,74,,,,,,,,,,,,Feature,"User feedback, Jamie, 2024",,,,Auto-refresh image after single image job completion,Image Processing,Jamie,,,,,,,
Increase image resolution threshold to accommodate high-resolution images,User feedback summary 2024,75,,,,,,,,,,,,Feature,"User feedback, Hubert, 2024",,,,Increase image resolution threshold to accommodate high-resolution images,Image Processing,Hubert,,,,,,,
Fix challenges with uploading large batches of images due to interface limitations,User feedback summary 2024,76,,,,,,,,,,,,Bug,"User feedback, Stephan, 2024",,,,Fix challenges with uploading large batches of images due to interface limitations,Image Upload,Stephan,,,,,,,
Enhance user experience for large image uploads through integration with cloud services,User feedback summary 2024,77,,,,,,,,,,,,Feature,"User feedback, Stephan, 2024",,,,Enhance user experience for large image uploads through integration with cloud services,Image Upload,Stephan,,,,,,,
Provide instructions for uploading large batches of images using Cyberduck,User feedback summary 2024,78,,,,,,,,,,,,Feature,"User feedback, Hubert, 2024",,,,Provide instructions for uploading large batches of images using Cyberduck,Image Upload,Hubert,,,,,,,
